@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {Good,Bad}

@DATA
0.104093,0.003008,3.065275,0.220971,0.220221,0.741546,0.007422,0.149625,-29.316217,1.946232,0.351998,0.028086,0.130566,0.108387,0.190373,0.134894,-0.005738,0.149722,0.019384,0.036070,0.044715,0.005859,0.003848,0.034563,0.005769,0.046151,0.007379,0.075225,0.002656,0.004655,0.013353,0.014014,0.003184,0.032116,0.070524,0.003222,0.215127,0.061626,0.029752,0.557054,0.005417,0.139709,1.993255,0.765971,0.678329,0.444568,0.378475,0.302146,0.274157,0.260110,0.245890,0.225241,0.203983,0.217206,0.193371,0.008271,0.007212,0.032506,0.008473,0.040157,0.011123,0.061756,0.004998,0.007864,0.016360,0.015504,0.004893,0.015729,150.000000,0.097015,Good
0.094922,0.008515,3.034353,0.205559,0.210100,0.688252,0.009963,0.130168,-28.372571,1.966166,0.357709,-0.178391,0.055776,0.029704,0.203180,0.105254,-0.039524,0.112685,-0.104304,-0.066668,-0.090327,0.015445,0.005776,0.035738,0.006543,0.036555,0.005956,0.065721,0.003358,0.005735,0.013532,0.014206,0.005213,0.031225,0.065542,0.010018,0.275920,0.065679,0.034740,0.520202,0.007428,0.131095,2.497178,0.774802,0.673069,0.551941,0.358796,0.317816,0.301089,0.259606,0.273327,0.246108,0.241482,0.258233,0.250637,0.024455,0.011170,0.038715,0.011191,0.034020,0.008876,0.057397,0.007294,0.009880,0.018339,0.017435,0.009520,0.014876,200.000000,0.103051,Good
0.098452,0.010712,3.054373,0.203056,0.203335,0.745643,0.008575,0.144004,-28.134186,1.745648,0.348102,-0.183956,0.150723,0.036908,0.264691,0.132148,-0.032583,0.122898,0.015780,0.021806,0.002276,0.007178,0.004773,0.030561,0.005974,0.041291,0.010266,0.064743,0.004299,0.005593,0.010100,0.011867,0.005918,0.029983,0.066966,0.012385,0.254328,0.064155,0.035594,0.516794,0.006087,0.127558,2.623837,0.807085,0.799217,0.514760,0.414805,0.332942,0.324631,0.289019,0.272442,0.227105,0.218204,0.226705,0.220839,0.010421,0.009104,0.032912,0.009583,0.039765,0.015973,0.058816,0.007886,0.009417,0.012647,0.014102,0.010422,0.015479,200.000000,0.090102,Good
0.089375,0.009675,3.034665,0.204237,0.215366,0.679145,0.009442,0.125030,-27.868230,1.920695,0.373434,-0.212108,0.180992,0.034396,0.279102,0.161140,-0.011475,0.128387,-0.016935,0.061252,-0.013068,0.007056,0.004465,0.036834,0.007588,0.045234,0.006805,0.076629,0.003979,0.005131,0.012271,0.012430,0.004455,0.033733,0.061857,0.012194,0.238972,0.064756,0.033852,0.509313,0.007204,0.119868,2.370428,0.781665,0.716344,0.520366,0.375501,0.335775,0.295577,0.281607,0.266847,0.235789,0.212861,0.204331,0.213037,0.009919,0.009092,0.037866,0.011779,0.040447,0.011542,0.067127,0.008248,0.008890,0.015017,0.014122,0.008785,0.016328,200.000000,0.093148,Bad
0.096266,0.007831,3.061325,0.220805,0.221786,0.733088,0.006901,0.129762,-28.129457,1.802115,0.564261,-0.127244,0.185338,0.089485,0.226261,0.197461,0.003948,0.161615,0.005872,0.045982,0.026841,0.005610,0.004015,0.048690,0.006690,0.049256,0.005015,0.079857,0.003040,0.004033,0.010014,0.010942,0.003628,0.035902,0.060028,0.008391,0.205374,0.054720,0.030839,0.508198,0.004938,0.126006,1.893711,0.617462,0.642503,0.479253,0.403684,0.297212,0.279916,0.270075,0.251505,0.223138,0.207021,0.193469,0.193219,0.008737,0.008169,0.045187,0.009412,0.039782,0.007866,0.064129,0.006901,0.007474,0.011719,0.011682,0.006663,0.016124,171.428571,0.082133,Bad
0.079591,0.011405,3.047571,0.186979,0.205766,0.603190,0.009422,0.108193,-27.355246,1.959050,0.427657,-0.276285,0.124874,0.064774,0.259694,0.199082,-0.043286,0.124052,-0.019599,0.046899,0.013123,0.008698,0.005626,0.028509,0.007059,0.043902,0.011151,0.078227,0.003707,0.004502,0.011238,0.010468,0.005573,0.032504,0.057565,0.012158,0.245026,0.061227,0.034712,0.469154,0.006222,0.105691,2.378960,0.781576,0.720454,0.544654,0.408724,0.324824,0.318366,0.263907,0.277638,0.238398,0.221758,0.213880,0.209860,0.013213,0.011103,0.029544,0.010407,0.038852,0.016017,0.067033,0.008177,0.006834,0.013694,0.012910,0.009636,0.016297,171.428571,0.089701,Bad
0.094031,0.008838,3.060485,0.197020,0.205893,0.710160,0.008987,0.134585,-27.906239,1.935427,0.424214,-0.198957,0.292017,-0.014235,0.229575,0.117385,0.034498,0.076381,0.012060,0.057378,0.042213,0.008443,0.004320,0.028758,0.005883,0.039661,0.009321,0.064035,0.003048,0.005669,0.016930,0.013598,0.004629,0.029267,0.066844,0.009894,0.243121,0.062587,0.034294,0.549239,0.006344,0.123220,2.305010,0.862446,0.771526,0.485509,0.406970,0.325939,0.317194,0.277337,0.266731,0.234270,0.212938,0.211704,0.197249,0.012203,0.007726,0.029731,0.009554,0.037381,0.014811,0.056678,0.006327,0.009188,0.018155,0.016258,0.007657,0.014324,200.000000,0.090656,Bad
0.083740,0.010613,3.072204,0.191450,0.207869,0.641727,0.008757,0.113730,-27.406671,1.964654,0.397042,-0.280245,0.213631,0.070055,0.338618,0.200990,-0.023129,0.128193,-0.003477,0.076017,0.018235,0.005804,0.004865,0.039722,0.009879,0.051030,0.008009,0.062049,0.003403,0.003952,0.008548,0.010256,0.005054,0.031112,0.059161,0.011645,0.231257,0.060305,0.034320,0.503048,0.006291,0.111309,2.298804,0.786993,0.770027,0.539898,0.438560,0.334095,0.324126,0.270974,0.285912,0.242834,0.226178,0.222750,0.203277,0.008106,0.009458,0.037201,0.014641,0.039934,0.011531,0.056673,0.006882,0.006798,0.010524,0.011484,0.009107,0.015093,150.000000,0.099543,Bad
0.094274,0.009374,3.096085,0.195115,0.203356,0.732310,0.007722,0.139951,-27.621557,1.944781,0.563982,-0.241380,0.186404,0.064220,0.242394,0.158841,0.030836,0.097162,0.001270,0.066376,0.075146,0.009148,0.004691,0.033022,0.010026,0.049683,0.010586,0.055124,0.002505,0.003569,0.010087,0.011493,0.003681,0.028977,0.066855,0.009568,0.225238,0.061399,0.033290,0.527395,0.005371,0.116250,2.296217,0.798274,0.706826,0.527590,0.415289,0.332664,0.338962,0.266044,0.275627,0.231445,0.222068,0.209192,0.204915,0.013014,0.008654,0.034623,0.013907,0.042668,0.015486,0.048716,0.005399,0.005011,0.012083,0.013517,0.005681,0.013796,150.000000,0.080331,Bad
0.091653,0.008650,3.066969,0.213063,0.220919,0.671242,0.008101,0.129103,-28.032448,1.892140,0.386444,-0.089315,0.184661,0.106241,0.214078,0.214531,-0.009882,0.149397,-0.011667,0.029393,0.027597,0.006941,0.004494,0.041694,0.007493,0.051847,0.006838,0.069480,0.003739,0.003201,0.008431,0.012163,0.003497,0.033024,0.057247,0.010135,0.204604,0.058053,0.032702,0.471733,0.005611,0.119049,2.097874,0.715174,0.729062,0.485344,0.409089,0.310187,0.282593,0.251919,0.270975,0.225100,0.208637,0.195397,0.193210,0.009937,0.008779,0.039092,0.010727,0.040108,0.010149,0.057854,0.007473,0.005183,0.010895,0.012791,0.005946,0.014533,200.000000,0.092958,Bad
